Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
BMW_2,Gasoline,2,33,36
BMW_3,Gasoline,3,29,28
Ford_3,Gasoline,3,40,29
Mitsubishi_3,Gasoline,3,42,35
smart_3,Gasoline,3,39,32
Acura_4,Gasoline,4,35,25
Alfa Romeo_4,Gasoline,4,33,24
Audi_4,Gasoline,4,30,23
Audi_4,Gasoline,4,32,24
BMW_4,Gasoline,4,32,23
Buick_4,Gasoline,4,27,20
Buick_4,Gasoline,4,31,23
Cadillac_4,Gasoline,4,30,22
Cadillac_4,Gasoline,4,32,22
Chevrolet_4,Gasoline,4,31,21
Chevrolet_4,Gasoline,4,34,27
Chrysler_4,Gasoline,4,36,23
Dodge_4,Gasoline,4,25,19
Fiat_4,Gasoline,4,34,26
Fiat_4,Gasoline,4,30,22
Ford_4,Gasoline,4,25,19
Ford_4,Gasoline,4,31,24
GMC_4,Gasoline,4,27,20
Honda_4,Gasoline,4,38,30
Honda_4,Gasoline,4,37,29
Hyundai_4,Gasoline,4,34,27
Infiniti_4,Gasoline,4,30,22
Infiniti_4,Gasoline,4,27,25
Jaguar_4,Gasoline,4,30,21
Jeep_4,Gasoline,4,31,24
Jeep_4,Gasoline,4,27,21
Kia_4,Gasoline,4,33,27
Land Rover_4,Gasoline,4,27,20
Lexus_4,Gasoline,4,30,22
Lexus_4,Gasoline,4,36,39
Lincoln_4,Gasoline,4,29,23
Mazda_4,Gasoline,4,34,26
Mazda_4,Gasoline,4,35,27
Mercedes-Benz_4,Gasoline,4,30,23
MINI_4,Gasoline,4,33,24
Mitsubishi_4,Gasoline,4,31,24
Nissan_4,Gasoline,4,31,26
Nissan_4,Gasoline,4,33,26
Porsche_4,Gasoline,4,27,21
Ram_4,Gasoline,4,28,21
Subaru_4,Gasoline,4,27,21
Subaru_4,Gasoline,4,33,25
Toyota_4,Gasoline,4,30,23
Toyota_4,Gasoline,4,35,32
Volkswagen_4,Gasoline,4,28,21
Volkswagen_4,Gasoline,4,33,24
Volvo_4,Gasoline,4,29,22
Volvo_4,Gasoline,4,32,23
Acura_6,Gasoline,6,28,21
Alfa Romeo_6,Gasoline,6,24,17
Audi_6,Gasoline,6,27,19
BMW_6,Gasoline,6,28,19
Buick_6,Gasoline,6,26,18
Cadillac_6,Gasoline,6,25,17
Cadillac_6,Gasoline,6,26,18
Chevrolet_6,Gasoline,6,24,17
Chrysler_6,Gasoline,6,29,20
Dodge_6,Gasoline,6,27,18
Ford_6,Gasoline,6,18,11
Ford_6,Gasoline,6,23,17
Genesis_6,Gasoline,6,24,17
Genesis_6,Gasoline,6,27,17
GMC_6,Gasoline,6,23,17
Honda_6,Gasoline,6,28,19
Hyundai_6,Gasoline,6,25,18
Infiniti_6,Gasoline,6,27,20
Jaguar_6,Gasoline,6,26,18
Jeep_6,Gasoline,6,27,19
Jeep_6,Gasoline,6,22,17
Kia_6,Gasoline,6,25,18
Land Rover_6,Gasoline,6,23,17
Lexus_6,Gasoline,6,28,21
Lexus_6,Gasoline,6,28,20
Lincoln_6,Gasoline,6,24,16
Lotus_6,Gasoline,6,24,17
Maserati_6,Gasoline,6,24,16
Mercedes-Benz_6,Gasoline,6,25,19
Mitsubishi_6,Gasoline,6,27,20
Nissan_6,Gasoline,6,26,18
Nissan_6,Gasoline,6,25,18
Porsche_6,Gasoline,6,26,19
Ram_6,Gasoline,6,24,17
Subaru_6,Gasoline,6,28,20
Toyota_6,Gasoline,6,25,20
Volkswagen_6,Gasoline,6,25,18
Audi_8,Gasoline,8,26,17
Bentley_8,Gasoline,8,22,13
BMW_8,Gasoline,8,23,15
Cadillac_8,Gasoline,8,21,14
Cadillac_8,Gasoline,8,21,15
Chevrolet_8,Gasoline,8,23,15
Chevrolet_8,Gasoline,8,21,15
Chrysler_8,Gasoline,8,25,16
Dodge_8,Gasoline,8,24,15
Dodge_8,Gasoline,8,23,14
Ferrari_8,Gasoline,8,22,16
Ford_8,Gasoline,8,21,14
Ford_8,Gasoline,8,22,15
Genesis_8,Gasoline,8,23,15
GMC_8,Gasoline,8,21,15
Infiniti_8,Gasoline,8,22,15
Jaguar_8,Gasoline,8,23,15
Jeep_8,Gasoline,8,22,14
Jeep_8,Gasoline,8,19,13
Kia_8,Gasoline,8,23,15
Land Rover_8,Gasoline,8,19,14
Lexus_8,Gasoline,8,22,16
Maserati_8,Gasoline,8,20,14
McLaren Automotive_8,Gasoline,8,23,16
Mercedes-Benz_8,Gasoline,8,22,16
Nissan_8,Gasoline,8,20,14
Porsche_8,Gasoline,8,21,14
Ram_8,Gasoline,8,21,14
Roush Performance_8,Gasoline,8,23,14
Toyota_8,Gasoline,8,18,13
Audi_10,Gasoline,10,22,14
Dodge_10,Gasoline,10,19,12
Lamborghini_10,Gasoline,10,21,14
Aston Martin_12,Gasoline,12,19,12
Bentley_12,Gasoline,12,20,12
BMW_12,Gasoline,12,20,13
Ferrari_12,Gasoline,12,16,12
Lamborghini_12,Gasoline,12,17,10
Mercedes-Benz_12,Gasoline,12,20,13
Rolls-Royce_12,Gasoline,12,19,12
